지역,노선명,역명,위도,경도,총_승하차객수,브랜드_밀도,프리미엄_비율,가성비_비율,브랜드_다양성,클러스터
서울,3호선,경복궁,37.575844,126.973576,45114,18.0,0.39,0.61,9.0,0
경기,3호선,주엽,37.670138,126.761232,15912,10.0,0.4,0.6,7.0,0
경기,3호선,마두,37.652185,126.777641,14238,12.0,0.42,0.58,9.0,0
경기,3호선,원흥,37.650709,126.873239,19918,7.0,0.43,0.57,6.0,0
경기,3호선,화정,37.634708,126.832503,31958,20.0,0.5,0.5,10.0,3
경기,3호선,백석,37.642973,126.788109,19038,14.0,0.43,0.57,9.0,0
경기,3호선,대화,37.675883,126.747756,17340,7.0,0.43,0.57,6.0,0
경기,3호선,대곡,37.631629,126.811025,18913,0.0,0.0,0.0,0.0,1
경기,3호선,정발산,37.659709,126.773254,13459,18.0,0.5,0.5,11.0,3
경기,3호선,원당,37.653103,126.842891,20370,7.0,0.29,0.71,6.0,0
서울,3호선,경찰병원,37.495754,127.124198,14196,14.0,0.36,0.64,8.0,0
서울,3호선,홍제,37.588851,126.944092,33626,10.0,0.4,0.6,9.0,0
서울,3호선,일원,37.48389,127.08416,20726,2.0,1.0,0.0,2.0,2
서울,3호선,학여울,37.496787,127.0708601,4056,2.0,0.5,0.5,2.0,2
경기,3호선,삼송,37.653096,126.895559,35140,6.0,0.33,0.67,5.0,0
서울,3호선,옥수,37.541653,127.017303,17127,4.0,0.5,0.5,4.0,2
서울,3호선,불광,37.610154,126.930183,31866,17.0,0.24,0.76,9.0,0
경기,3호선,지축,37.648151,126.913751,13753,7.0,0.29,0.71,6.0,0
서울,3호선,수서,37.4875,127.101924,35520,13.0,0.54,0.46,10.0,0
서울,3호선,신사,37.516438,127.020247,53616,19.0,0.42,0.58,10.0,1
서울,3호선,안국,37.576562,126.98547,47368,11.0,0.27,0.73,6.0,0
서울,3호선,약수,37.554554,127.010858,23748,9.0,0.22,0.78,5.0,3
서울,3호선,충무로,37.561382,126.994173,5,26.0,0.27,0.73,10.0,0
서울,3호선,연신내,37.619295,126.920959,68686,23.0,0.22,0.78,9.0,1
서울,3호선,오금,37.502288,127.128344,11532,3.0,0.0,1.0,3.0,3
서울,3호선,매봉,37.487114,127.046907,23093,5.0,0.4,0.6,5.0,0
서울,3호선,양재,37.48458,127.03423,71554,25.0,0.36,0.64,10.0,1
서울,3호선,독립문,37.574534,126.957902,14718,5.0,0.6,0.4,5.0,2
서울,3호선,종로3가,37.571537,126.991837,21801,22.0,0.23,0.77,8.0,0
서울,3호선,대치,37.494601,127.063449,25323,6.0,0.67,0.33,4.0,2
서울,3호선,대청,37.493607,127.079526,18964,5.0,0.0,1.0,4.0,3
서울,3호선,녹번,37.600882,126.935758,27017,8.0,0.38,0.62,7.0,0
서울,3호선,남부터미널,37.48494,127.016289,60126,26.0,0.38,0.62,10.0,1
서울,3호선,금호,37.548269,127.015785,14885,6.0,0.33,0.67,6.0,0
서울,3호선,구파발,37.636612,126.918827,40570,15.0,0.4,0.6,10.0,0
서울,3호선,무악재,37.582658,126.950131,7928,3.0,0.33,0.67,2.0,3
서울,3호선,압구정,37.526169,127.028502,61256,22.0,0.55,0.45,9.0,1
경기,4호선,정왕,37.351816,126.742844,16001,4.0,0.0,1.0,4.0,2
경기,4호선,중앙,37.316055,126.838532,34949,20.0,0.5,0.5,11.0,3
경기,4호선,한대앞,37.309685,126.853656,16177,13.0,0.31,0.69,11.0,0
서울,4호선,회현,37.558698,126.978346,53255,39.0,0.56,0.44,11.0,1
서울,4호선,불암산,37.67009,127.079004,16619,3.0,0.0,1.0,3.0,3
경기,4호선,과천,37.432805,126.996404,9324,2.0,0.0,1.0,2.0,2
경기,4호선,금정,37.371957,126.943611,51937,15.0,0.33,0.67,9.0,3
서울,4호선,충무로,37.561352,126.994573,55857,25.0,0.24,0.76,10.0,1
경기,4호선,정부과천청사,37.426445,126.989802,24954,14.0,0.36,0.64,10.0,3
경기,4호선,평촌,37.394346,126.963881,32088,19.0,0.32,0.68,11.0,3
경기,4호선,인덕원,37.401901,126.976718,48335,9.0,0.22,0.78,7.0,3
경기,4호선,수리산,37.350297,126.925537,6572,2.0,0.0,1.0,2.0,2
경기,4호선,안산,37.327006,126.788748,21189,6.0,0.0,1.0,4.0,2
경기,4호선,초지,37.320583,126.806151,8574,4.0,0.0,1.0,4.0,2
경기,4호선,선바위,37.451854,127.002164,12631,0.0,0.0,0.0,0.0,1
경기,4호선,상록수,37.302845,126.866533,26365,9.0,0.22,0.78,8.0,0
경기,4호선,산본,37.358019,126.932969,31317,19.0,0.53,0.47,13.0,3
경기,4호선,범계,37.389783,126.950752,53529,20.0,0.45,0.55,10.0,3
경기,4호선,반월,37.312244,126.903684,7827,2.0,0.0,1.0,2.0,2
경기,4호선,대야미,37.328304,126.917161,8548,2.0,0.0,1.0,2.0,2
경기,4호선,대공원,37.435724,127.006474,4622,0.0,0.0,0.0,0.0,1
서울,4호선,이촌,37.52919,126.9679818,22716,30.0,0.47,0.53,13.0,1
경기,4호선,능길,37.337488,126.767306,0,0.0,0.0,0.0,0.0,1
경기,4호선,오이도,37.361773,126.738437,13306,0.0,0.0,0.0,0.0,1
