지역,노선명,역명,위도,경도,총_승하차객수,브랜드_밀도,프리미엄_비율,가성비_비율,브랜드_다양성,클러스터
서울,8호선,송파,37.49978,127.11212,18868,8.0,0.12,0.88,6.0,3
서울,8호선,암사,37.550127,127.127521,29347,11.0,0.27,0.73,9.0,0
서울,8호선,암사역사공원,37.557167,127.137556,11743,3.0,0.0,1.0,2.0,3
서울,8호선,잠실,37.514649,127.104267,43166,27.0,0.37,0.63,12.0,1
서울,8호선,장지,37.478609,127.126229,31694,14.0,0.5,0.5,9.0,0
서울,8호선,천호,37.53792,127.123179,37268,19.0,0.32,0.68,10.0,0
서울,9호선,가양,37.561111,126.855078,40957,17.0,0.35,0.65,8.0,0
서울,9호선,개화,37.578611,126.798333,3758,0.0,0.0,0.0,0.0,2
서울,9호선,고속터미널,37.505933,127.004044,34607,31.0,0.55,0.45,12.0,1
서울,9호선,공항시장,37.563611,126.810278,5494,9.0,0.33,0.67,7.0,0
서울,9호선,구반포,37.501389,126.987222,3765,1.0,1.0,0.0,1.0,2
서울,9호선,국회의사당,37.528611,126.9175,32874,26.0,0.42,0.58,10.0,0
서울,9호선,김포공항,37.562056,126.801633,17079,2.0,0.5,0.5,2.0,2
서울,9호선,노들,37.512726,126.953096,8401,1.0,0.0,1.0,1.0,3
서울,9호선,노량진,37.513667,126.940917,52358,18.0,0.28,0.72,9.0,0
서울,9호선,당산,37.533844,126.902222,36060,18.0,0.39,0.61,9.0,0
서울,9호선,동작,37.502878,126.978278,3747,0.0,0.0,0.0,0.0,2
서울,9호선,둔촌오륜,37.519339,127.138619,8373,0.0,0.0,0.0,0.0,2
서울,9호선,등촌,37.551111,126.864722,23895,16.0,0.31,0.69,10.0,0
서울,9호선,마곡나루,37.566717,126.8276071,28266,20.0,0.45,0.55,11.0,0
서울,9호선,봉은사,37.514219,127.060245,42787,17.0,0.76,0.24,11.0,1
서울,9호선,사평,37.504161,127.015219,7656,8.0,0.5,0.5,7.0,0
서울,9호선,삼성중앙,37.513011,127.053282,15229,12.0,0.75,0.25,5.0,2
서울,9호선,삼전,37.504531,127.087211,16366,12.0,0.42,0.58,8.0,0
서울,9호선,샛강,37.5173,126.9284,12224,15.0,0.47,0.53,8.0,0
서울,9호선,석촌,37.505078,127.106944,17902,15.0,0.27,0.73,9.0,0
서울,9호선,석촌고분,37.502439,127.096611,14623,12.0,0.33,0.67,8.0,0
서울,9호선,선유도,37.537778,126.893889,16598,13.0,0.15,0.85,7.0,3
서울,9호선,선정릉,37.51028,127.0437593,19264,10.0,0.5,0.5,5.0,0
서울,9호선,송파나루,37.51055,127.112451,12636,10.0,0.2,0.8,7.0,3
서울,9호선,신논현,37.504444,127.024417,62453,34.0,0.5,0.5,10.0,1
서울,9호선,신목동,37.544167,126.883056,7993,0.0,0.0,0.0,0.0,2
서울,9호선,신반포,37.505933,127.004044,8788,31.0,0.55,0.45,12.0,0
서울,9호선,신방화,37.5675,126.816667,12997,10.0,0.3,0.7,7.0,0
서울,9호선,양천향교,37.568333,126.841389,20497,15.0,0.27,0.73,9.0,0
서울,9호선,언주,37.507287,127.033868,22481,12.0,0.25,0.75,5.0,3
서울,9호선,여의도,37.521744,126.924167,55734,35.0,0.66,0.34,9.0,1
서울,9호선,염창,37.546944,126.874722,33297,13.0,0.31,0.69,9.0,0
서울,9호선,올림픽공원,37.516111,127.130333,16686,3.0,0.33,0.67,3.0,3
서울,9호선,종합운동장,37.511156,127.076917,13574,7.0,0.57,0.43,5.0,2
서울,9호선,중앙보훈병원,37.528807,127.148488,21602,3.0,0.0,1.0,3.0,3
서울,9호선,증미,37.55785,126.861067,14676,15.0,0.2,0.8,6.0,3
서울,9호선,한성백제,37.516369,127.116211,5998,13.0,0.54,0.46,9.0,0
